,Child Commit Recent Date,Parent,Total Deleted Testfile,Deleted Testfile,Total Deleted Tests,Deleted Tests
73,2002-07-02 10:11:46,"=HYPERLINK(""https://github.com/pmd/pmd/commit/e115567351dc4de84df8212d5c5b18775c72369d"", ""e115567351dc4de84df8212d5c5b18775c72369d"")",1,['pmd/regress/test/net/sourceforge/pmd/FunctionalTest.java'],1,['testRemoveMe']
40,2002-07-16 10:59:06,"=HYPERLINK(""https://github.com/pmd/pmd/commit/4dc2bcbac3587ce9ee429bc5e37308febae35241"", ""4dc2bcbac3587ce9ee429bc5e37308febae35241"")",5,"['pmd/regress/test/net/sourceforge/pmd/rules/SystemOutRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/SystemPropsRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/SystemInRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/CreatesATimerTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/CreateAThreadRuleTest.java']",6,"['testCreateAThread', 'testCreateATimer', 'testSystemIn', 'testSystemOut', 'testProps', 'testProps2']"
3,2002-08-02 10:09:21,"=HYPERLINK(""https://github.com/pmd/pmd/commit/fd9ea76ddc7c932d2deae590d138ebf057cd33e4"", ""fd9ea76ddc7c932d2deae590d138ebf057cd33e4"")",7,"['pmd/regress/test/net/sourceforge/pmd/cpd/TokenSetsTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/OccurrencesTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/CPDTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/TokenTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/TileTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/GSTTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/TokenListTest.java']",17,"['testBasic', 'testBasic2', 'test1', 'testBasic', 'testInitialFrequencyCount', 'testContains', 'testDeleteSolo', 'testConstructors', 'testCopy', 'testEquality', 'testContains', 'testAdd', 'testBasic', 'testAdd', 'testHasTokenAfter', 'testBasic', 'testBasic']"
48,2002-10-02 09:59:45,"=HYPERLINK(""https://github.com/pmd/pmd/commit/228ec52e14c771a2ec971c9667d594efb2909962"", ""228ec52e14c771a2ec971c9667d594efb2909962"")",1,['pmd/regress/test/net/sourceforge/pmd/symboltable/ScopeTest.java'],4,"['testAdd', 'testUnused', 'testUnused2', 'testUnused3']"
23,2002-10-21 15:43:48,"=HYPERLINK(""https://github.com/pmd/pmd/commit/8665d850e7fe7cc630ed69ac5bb1d99a17bc8449"", ""8665d850e7fe7cc630ed69ac5bb1d99a17bc8449"")",1,['pmd/regress/test/net/sourceforge/pmd/symboltable/LookupControllerTest.java'],1,['test1']
34,2002-11-06 13:13:48,"=HYPERLINK(""https://github.com/pmd/pmd/commit/b5299c890df4c8fc49835da5fe8a44a7424c150c"", ""b5299c890df4c8fc49835da5fe8a44a7424c150c"")",1,['pmd/regress/test/net/sourceforge/pmd/rules/AvoidStringLiteralsRuleTest.java'],1,['testLiteralStringArg']
42,2003-01-16 13:16:50,"=HYPERLINK(""https://github.com/pmd/pmd/commit/8fc93f5e890c5c55819abbc16ab7bbd297dbaf95"", ""8fc93f5e890c5c55819abbc16ab7bbd297dbaf95"")",1,['pmd/regress/test/net/sourceforge/pmd/jdbc/JDBCReportListenerTest.java'],6,"['testLongConstructor', 'testPropConstructor', 'testSingleViolation', 'testMultiViolation', 'testSingleMetric', 'testMultiMetric']"
44,2003-03-27 14:11:54,"=HYPERLINK(""https://github.com/pmd/pmd/commit/0ddf536491b583b2f62a1ec9b95e1b8678b7fffc"", ""0ddf536491b583b2f62a1ec9b95e1b8678b7fffc"")",2,"['pmd/regress/test/net/sourceforge/pmd/cpd/TokenListTest.java', 'pmd/regress/test/net/sourceforge/pmd/cpd/TokenEntryTest.java']",4,"['testBasic', 'testBasic', 'testAdd', 'testCode']"
7,2003-04-16 10:19:26,"=HYPERLINK(""https://github.com/pmd/pmd/commit/b1e6c2253df5341a994865982aed7de6a3237090"", ""b1e6c2253df5341a994865982aed7de6a3237090"")",1,['pmd/regress/test/net/sourceforge/pmd/symboltable/SymbolFacadeTest.java'],1,['testBasic']
66,2003-06-25 08:06:50,"=HYPERLINK(""https://github.com/pmd/pmd/commit/833b4c3884b5a8ede7730c39be3da1cdcbf2f847"", ""833b4c3884b5a8ede7730c39be3da1cdcbf2f847"")",1,['pmd/regress/test/net/sourceforge/pmd/RuleSetReadWriteTest.java'],1,['testReadWrite']
37,2003-07-31 09:29:38,"=HYPERLINK(""https://github.com/pmd/pmd/commit/5f1f887f5360aedf8ddd97fbf7d64e834cbaf85c"", ""5f1f887f5360aedf8ddd97fbf7d64e834cbaf85c"")",1,['pmd-swingui/regress/test/net/sourceforge/pmd/RuleSetReadWriteTest.java'],1,['testReadWrite']
2,2004-07-09 11:18:56,"=HYPERLINK(""https://github.com/pmd/pmd/commit/78ca7ab6641d512b036686c1dc89aa2d8d1bd780"", ""78ca7ab6641d512b036686c1dc89aa2d8d1bd780"")",1,['pmd/regress/test/net/sourceforge/pmd/symboltable/NameOccurrenceTest.java'],1,['testConstructor']
8,2004-09-16 14:32:14,"=HYPERLINK(""https://github.com/pmd/pmd/commit/008a79cb2db05f6dd22b0ad8eaa43957fe515f1d"", ""008a79cb2db05f6dd22b0ad8eaa43957fe515f1d"")",1,['pmd/src/net/sourceforge/pmd/dfa/test/TestClass.java'],26,"['test_1', 'test_2', 'test_3', 'test_4', 'test_6', 'test_7', 'test_8', 'test_9', 'test_10', 'test_11', 'test_12', 'test_13', 'test_14', 'test_15', 'test_16', 'test_17', 'test_18', 'test_19', 'test_20', 'test_21', 'test_22', 'test_23', 'test_24', 'test_25', 'test_26', 'test_27']"
38,2004-09-30 13:21:00,"=HYPERLINK(""https://github.com/pmd/pmd/commit/f1ff22c310c95084c4e550bd9ead2a1205ad7060"", ""f1ff22c310c95084c4e550bd9ead2a1205ad7060"")",1,['pmd/regress/test/net/sourceforge/pmd/dfa/LinkerTest.java'],1,['testComputePaths']
35,2005-03-23 11:16:46,"=HYPERLINK(""https://github.com/pmd/pmd/commit/fde55e40835e80de47cefec339ce565acc4332bc"", ""fde55e40835e80de47cefec339ce565acc4332bc"")",1,['pmd/regress/test/net/sourceforge/pmd/rules/AbstractClassDoesNotContainAbstractMethodTest.java'],1,['testAll']
58,2005-06-27 13:26:12,"=HYPERLINK(""https://github.com/pmd/pmd/commit/81d9fbb928ebe4c1bc0d1ba4603f4f935bf884e9"", ""81d9fbb928ebe4c1bc0d1ba4603f4f935bf884e9"")",1,['pmd/regress/test/net/sourceforge/pmd/rules/finalize/ExplicitCallToFinalizeRuleTest.java'],1,['testAll']
76,2005-08-07 21:15:08,"=HYPERLINK(""https://github.com/pmd/pmd/commit/98d349504b82369cd9887ffe48eef5605ecb8463"", ""98d349504b82369cd9887ffe48eef5605ecb8463"")",1,['pmd/regress/test/net/sourceforge/pmd/rules/strictexception/ExceptionTypeCheckingRuleTest.java'],1,['testAll']
72,2006-05-15 13:58:48,"=HYPERLINK(""https://github.com/pmd/pmd/commit/cad7d128a07ce3b82a7a0dae81e2caad52915d89"", ""cad7d128a07ce3b82a7a0dae81e2caad52915d89"")",1,['pmd/regress/test/net/sourceforge/pmd/ast/DiscardableNodeCleanerTest.java'],1,['testFoo']
0,2006-06-18 17:30:33,"=HYPERLINK(""https://github.com/pmd/pmd/commit/cc57b9d4c0735e48f48b05557c88d1a38215408b"", ""cc57b9d4c0735e48f48b05557c88d1a38215408b"")",1,['pmd-eclipse-test/test/test/net/sourceforge/pmd/eclipse/dao/PreferencesDAOTest.java'],2,"['testReadPreferences', 'testWritePreferences']"
15,2007-06-26 17:55:28,"=HYPERLINK(""https://github.com/pmd/pmd/commit/ed35b31cd8845f13479d78a589675af06deb8b4f"", ""ed35b31cd8845f13479d78a589675af06deb8b4f"")",12,"['pmd/regress/test/net/sourceforge/pmd/rules/basic/DoubleCheckedLockingTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/CollapsibleIfStatementsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyCatchBlockRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/AvoidUsingOctalValuesTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyFinallyBlockRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/AvoidDecimalLiteralsInBigDecimalConstructorTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/BrokenNullCheckTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/ClassCastExceptionWithToArrayTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyIfStmtRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/BooleanInstantiationRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/BigIntegerInstantiationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/AvoidThreadGroupTest.java']",12,"['testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll']"
49,2007-06-26 20:40:30,"=HYPERLINK(""https://github.com/pmd/pmd/commit/f1f10c94622eb7134e557d0c8795967d2a9af8d3"", ""f1f10c94622eb7134e557d0c8795967d2a9af8d3"")",17,"['pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyWhileStmtRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/ReturnFromFinallyBlockTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptySwitchStmtRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyStaticInitializerRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptySynchronizedBlockRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/JumbledIncrementerRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryReturnTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/ForLoopShouldBeWhileLoopRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryTemporariesTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/UselessOperationOnImmutableTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/MisplacedNullCheckTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/UnnecessaryFinalModifierTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/UselessOverridingMethodTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyStatementNotInLoopRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/OverrideBothEqualsAndHashcodeTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/UnconditionalIfStatementRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/basic/EmptyTryBlockRuleTest.java']",17,"['testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll']"
39,2007-06-26 20:54:34,"=HYPERLINK(""https://github.com/pmd/pmd/commit/3352454242f8a1abba5e6d2b49ce861b8abdb8c8"", ""3352454242f8a1abba5e6d2b49ce861b8abdb8c8"")",30,"['pmd/regress/test/net/sourceforge/pmd/rules/codesize/NcssTypeCountTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/AtLeastOneConstructorRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/codesize/LongClassRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/codesize/NcssMethodCountTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/NullAssignmentRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/CallSuperInConstructorTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/clone/CloneMethodMustImplementCloneableTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/codesize/TooManyFieldsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/DefaultPackageTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/AssignmentInOperandTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/codesize/ExcessivePublicCountTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/clone/ProperCloneImplementationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/braces/WhileLoopsMustUseBracesTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/SingularFieldRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/braces/IfStmtsMustUseBracesRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/braces/ForLoopsMustUseBracesTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/clone/CloneThrowsCloneNotSupportedExceptionTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/UnusedModifierRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/codesize/ExcessiveMethodLengthTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/codesize/NpathComplexityTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/codesize/NcssConstructorCountTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/DontImportSunTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/DataflowAnomalyAnalysisTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/OnlyOneReturnRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/BooleanInversionTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/UnnecessaryParenthesesTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/codesize/LongParameterListRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/SuspiciousOctalEscapeTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/controversial/UnnecessaryConstructorTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/braces/IfElseStmtsMustUseBracesTest.java']",31,"['testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testOverrideMinimumWithTopScore', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll']"
55,2007-06-26 21:01:06,"=HYPERLINK(""https://github.com/pmd/pmd/commit/567948e2c3bf88d1a57852869c28f1f6765957c8"", ""567948e2c3bf88d1a57852869c28f1f6765957c8"")",42,"['pmd/regress/test/net/sourceforge/pmd/rules/design/SimplifyBooleanReturnsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/AbstractClassWithoutAbstractMethodTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/AssignmentToNonFinalStaticTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/FinalFieldCouldBeStaticRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/UseNotifyAllInsteadOfNotifyTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/SwitchDensityTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/OptimizableToArrayCallTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/SimplifyBooleanExpressionsRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/PositionalIteratorRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/AvoidConstantsInterfaceTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/NonCaseLabelInSwitchStatementRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/UseCollectionIsEmptyTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/ImmutableFieldTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/MissingBreakInSwitchTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/AvoidReassigningParametersTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/NonThreadSafeSingletonTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/EqualsNullRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/SimpleDateFormatNeedsLocaleRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/MissingStaticMethodInNonInstantiatableClassTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/SwitchStmtsShouldHaveDefaultRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/AvoidInstanceofChecksInCatchClauseTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/coupling/LooseCouplingTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/UseSingletonTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/PositionLiteralsFirstInComparisonsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/BadComparisonTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/DefaultLabelNotLastInSwitchStmtRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/PreserveStackTraceTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/AccessorClassGenerationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/NonStaticInitializerRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/coupling/ExcessiveImportsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/InstantiationToGetClassRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/IdempotentOperationsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/coupling/CouplingBetweenObjectsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/AvoidSynchronizedAtMethodLevelTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/UnsynchronizedStaticDateFormatterTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/SimplifyConditionalTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/CompareObjectsWithEqualsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/UnnecessaryLocalBeforeReturnRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/CloseResourceTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/AvoidDeeplyNestedIfStmtsRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/UseLocaleWithCaseConversionsRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/design/AvoidProtectedFieldInFinalClassRuleTest.java']",43,"['testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'test', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testResetState']"
70,2007-06-26 21:10:23,"=HYPERLINK(""https://github.com/pmd/pmd/commit/14ec8c603243beccb580cfd12bb9d4dd4248e351"", ""14ec8c603243beccb580cfd12bb9d4dd4248e351"")",15,"['pmd/regress/test/net/sourceforge/pmd/rules/imports/DontImportJavaLangRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/imports/DuplicateImportsRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/j2ee/MDBAndSessionBeanNamingConventionTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/finalizers/FinalizeDoesNotCallSuperFinalizeRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/j2ee/LocalHomeNamingConventionTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/finalizers/FinalizeOverloadedRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/finalizers/EmptyFinalizerRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/j2ee/RemoteInterfaceNamingConventionTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/j2ee/LocalInterfaceSessionNamingConventionTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/finalizers/FinalizeOnlyCallsSuperFinalizeRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/imports/UnusedImportsRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/finalizers/AvoidCallingFinalizeTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/finalizers/FinalizeShouldBeProtectedRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/j2ee/RemoteSessionInterfaceNamingConventionTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/j2ee/UseProperClassLoaderTest.java']",15,"['testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll']"
19,2007-06-26 21:29:19,"=HYPERLINK(""https://github.com/pmd/pmd/commit/bec9a1b8a38ee3377c0be162ea65ef5cbc77cc1b"", ""bec9a1b8a38ee3377c0be162ea65ef5cbc77cc1b"")",12,"['pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitTestsShouldContainAssertsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertSameInsteadOfAssertTrueTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/javabeans/MissingSerialVersionUIDTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitSpellingRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/junit/SimplifyBooleanAssertionTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/junit/TestClassWithoutTestCasesTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/junit/UnnecessaryBooleanAssertionTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitStaticSuiteRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/junit/JUnitAssertionsShouldIncludeMessageTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertEqualsInsteadOfAssertTrueTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/junit/UseAssertNullInsteadOfAssertTrueTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/javabeans/BeanMembersShouldSerializeRuleTest.java']",12,"['testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll']"
