,Child Commit Recent Date,Parent,Total Deleted Testfile,Deleted Testfile,Total Deleted Tests,Deleted Tests
33,2007-06-27 17:07:30,"=HYPERLINK(""https://github.com/pmd/pmd/commit/a850f6275ceff130d913b1a4c7e0c9372c57356d"", ""a850f6275ceff130d913b1a4c7e0c9372c57356d"")",53,"['pmd/regress/test/net/sourceforge/pmd/rules/naming/ShortMethodNameTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strictexception/ExceptionAsFlowControlTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/SuspiciousConstantFieldNameTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strictexception/AvoidCatchingNPETest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/InefficientEmptyStringCheckTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/optimizations/MethodArgumentCouldBeFinalTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strictexception/DoNotExtendJavaLangErrorTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/AvoidDollarSignsRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/UnnecessaryCaseChangeRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/VariableNamingConventionsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/AvoidFieldNameMatchingTypeNameTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/AvoidFieldNameMatchingMethodNameTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/AppendCharacterWithCharTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/StringToStringRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strictexception/AvoidCatchingThrowableRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/optimizations/AvoidInstantiatingObjectsInLoopsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/optimizations/UnnecessaryWrapperObjectCreationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/loggingjava/SystemPrintlnTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/PackageCaseTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/UselessStringValueOfTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/SuspiciousEqualsMethodNameRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/optimizations/SimplifyStartsWithTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/MisleadingVariableNameTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strictexception/ExceptionSignatureDeclarationRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/loggingjava/AvoidPrintStackTraceTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/NoPackageTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/InsufficientStringBufferDeclarationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/UseStringBufferLengthTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/InefficientStringBufferingTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strictexception/AvoidThrowingNullPointerExceptionTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/optimizations/UseArrayListInsteadOfVectorTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/loggingjava/LoggerIsNotStaticFinalTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/loggingjava/MoreThanOneLoggerTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/ConsecutiveLiteralAppendsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/MethodWithSameNameAsEnclosingClassRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strictexception/AvoidThrowingRawExceptionTypesTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/optimizations/LocalVariableCouldBeFinalTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/StringBufferInstantiationWithCharTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/AbstractNamingTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/BooleanGetMethodNameTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/ShortVariableRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/SuspiciousHashcodeMethodNameRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/optimizations/UseArraysAsListTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/MethodNamingConventionsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/UseIndexOfCharTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/LongVariableRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/AvoidNonConstructorMethodsWithClassNameTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strings/StringInstantiationRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/naming/ClassNamingConventionsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/optimizations/AvoidArrayLoopsTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/strictexception/AvoidRethrowingExceptionTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/optimizations/AddEmptyStringTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/optimizations/UseStringBufferForStringAppendsTest.java']",53,"['testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll']"
21,2007-06-28 08:15:18,"=HYPERLINK(""https://github.com/pmd/pmd/commit/59afc3a38b1d67e19b69b677818cb62703f17e69"", ""59afc3a38b1d67e19b69b677818cb62703f17e69"")",2,"['pmd/regress/test/net/sourceforge/pmd/rules/loggingjakartacommons/ProperLoggerTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/loggingjakartacommons/UseCorrectExceptionLoggingTest.java']",2,"['testAll', 'testAll']"
5,2007-06-28 08:22:16,"=HYPERLINK(""https://github.com/pmd/pmd/commit/cd089a159fce7afcfae89b96f76544c4c15d4adc"", ""cd089a159fce7afcfae89b96f76544c4c15d4adc"")",4,"['pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedPrivateFieldRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedLocalVariableTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedFormalParameterRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/unusedcode/UnusedPrivateMethodRuleTest.java']",4,"['testAll', 'testAll', 'testAll', 'testAll']"
51,2007-06-28 19:48:05,"=HYPERLINK(""https://github.com/pmd/pmd/commit/886974a2f11e24d4bc9ace91d2bb41c8c5c242a2"", ""886974a2f11e24d4bc9ace91d2bb41c8c5c242a2"")",17,"['pmd/regress/test/net/sourceforge/pmd/rules/migrating/JUnitUseExpectedTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/ShortInstantiationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/sunsecure/MethodReturnsInternalArrayTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/ReplaceHashtableWithMapTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/AvoidAssertAsIdentifierTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/ReplaceEnumerationWithIteratorTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/AvoidEnumAsIdentifierTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/JUnit4TestShouldUseBeforeAnnotationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/imports/ImportFromSamePackageRuleTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/JUnit4SuitesShouldUseSuiteAnnotationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/ReplaceVectorWithListTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/JUnit4TestShouldUseTestAnnotationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/LongInstantiationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/sunsecure/ArrayIsStoredDirectlyTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/JUnit4TestShouldUseAfterAnnotationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/IntegerInstantiationTest.java', 'pmd/regress/test/net/sourceforge/pmd/rules/migrating/ByteInstantiationTest.java']",17,"['testAll', 'testOne', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll', 'testAll']"
41,2008-10-17 22:27:58,"=HYPERLINK(""https://github.com/pmd/pmd/commit/90bbf701a5def6c18567f0b2f57849ca92762a15"", ""90bbf701a5def6c18567f0b2f57849ca92762a15"")",1,['pmd/regress/test/net/sourceforge/pmd/lang/java/rule/DynamicRuleTest.java'],1,['testAll']
9,2009-04-24 23:56:49,"=HYPERLINK(""https://github.com/pmd/pmd/commit/be4d3dd6b46e284cbe840fce7a2bb0aa5dab8da2"", ""be4d3dd6b46e284cbe840fce7a2bb0aa5dab8da2"")",1,['pmd/regress/test/net/sourceforge/pmd/lang/java/rule/unnecessary/UnusedNullCheckInEqualsTest.java'],2,"['testAll', 'testN']"
11,2011-12-11 07:41:31,"=HYPERLINK(""https://github.com/pmd/pmd/commit/90b9a04858802bc2a3361125bc2ae28c9c840ee2"", ""90b9a04858802bc2a3361125bc2ae28c9c840ee2"")",1,['maven-plugin-pmd-build/regress/PmdBuildTest.java'],1,['generateIndexRules']
47,2013-03-13 14:31:33,"=HYPERLINK(""https://github.com/pmd/pmd/commit/3bf8eb9d1f40fd6b278bd2baf0adbc712cd6dc85"", ""3bf8eb9d1f40fd6b278bd2baf0adbc712cd6dc85"")",1,['pmd/src/test/java/net/sourceforge/pmd/lang/java/rule/design/TooManyHttpFilterTest.java'],1,['testDefault']
74,2013-11-11 13:08:48,"=HYPERLINK(""https://github.com/pmd/pmd/commit/54f77b9ad4867a476ae4481b6d32752b848a9d97"", ""54f77b9ad4867a476ae4481b6d32752b848a9d97"")",1,['pmd/src/test/java/net/sourceforge/pmd/lang/java/rule/design/UncommentedEmptyConstructorRuleTest.java'],2,"['testDefault', 'testIgnoredConstructorInvocation']"
28,2015-03-07 14:12:04,"=HYPERLINK(""https://github.com/pmd/pmd/commit/59b14bd00969b2e98bfb4ec13be0eaed1beef709"", ""59b14bd00969b2e98bfb4ec13be0eaed1beef709"")",1,['pmd-java8/src/test/java/net/sourceforge/pmd/lang/java/bugs/Java8MultipleLambdasTest.java'],1,['should_not_fail']
31,2017-02-15 17:36:31,"=HYPERLINK(""https://github.com/pmd/pmd/commit/5c91394619adac230cfc9ad7d860d079e91c4d80"", ""5c91394619adac230cfc9ad7d860d079e91c4d80"")",1,['pmd-visualforce/src/test/java/net/sourceforge/pmd/lang/vf/ast/XPathJspRuleTest.java'],1,['testExpressionMatching']
24,2017-02-28 22:12:42,"=HYPERLINK(""https://github.com/pmd/pmd/commit/b7974d0486a205c4e9e2848517f408a77509f81a"", ""b7974d0486a205c4e9e2848517f408a77509f81a"")",1,['pmd-visualforce/src/test/java/net/sourceforge/pmd/lang/vf/ast/XPathJspRuleTest.java'],1,['testExpressionMatching']
25,2017-04-14 15:41:50,"=HYPERLINK(""https://github.com/pmd/pmd/commit/c26891a09149357ceeb05752df6d69eaac236e6e"", ""c26891a09149357ceeb05752df6d69eaac236e6e"")",1,['pmd-apex/src/test/java/net/sourceforge/pmd/lang/apex/SuppressWarningsTest.java'],13,"['testClassLevelSuppression', 'testInheritedSuppression', 'testMethodLevelSuppression', 'testConstructorLevelSuppression', 'testFieldLevelSuppression', 'testParameterLevelSuppression', 'testLocalVariableLevelSuppression', 'testSpecificSuppression', 'testSpecificSuppressionMulitpleValues', 'testNoSuppressionBlank', 'testNoSuppressionSomethingElseS', 'testSuppressAll', 'testSpecificSuppressionAtTopLevel']"
62,2017-06-17 05:42:13,"=HYPERLINK(""https://github.com/pmd/pmd/commit/2c861a2f6c040b348aa6ffe9a64f2eb106c2bbfb"", ""2c861a2f6c040b348aa6ffe9a64f2eb106c2bbfb"")",1,['pmd-cpp/src/test/java/net/sourceforge/pmd/lang/cpp/ContinuationReaderTest.java'],1,['testHappyPath']
4,2017-10-01 19:24:39,"=HYPERLINK(""https://github.com/pmd/pmd/commit/619f19cd831fc94b2191187f2085d7556127f08b"", ""619f19cd831fc94b2191187f2085d7556127f08b"")",1,['pmd-ui/src/test/java/net/sourceforge/pmd/util/fxdesigner/DesignerWindowSettingsTest.java'],1,['testKeysNamesAreUnique']
36,2018-11-26 06:55:35,"=HYPERLINK(""https://github.com/pmd/pmd/commit/32002664f7cf908d1a522a21e8fa306f4485c70e"", ""32002664f7cf908d1a522a21e8fa306f4485c70e"")",1,['pmd-python/src/test/java/net/sourceforge/pmd/LanguageVersionDiscovererTest.java'],1,['testPython']
12,2018-11-30 09:10:18,"=HYPERLINK(""https://github.com/pmd/pmd/commit/41d52818b1f4d0c314d9053cc3aa3402c209c642"", ""41d52818b1f4d0c314d9053cc3aa3402c209c642"")",1,['pmd-core/src/test/java/net/sourceforge/pmd/properties/PropertyAccessorTest.java'],4,"['testIntegers', 'testBooleans', 'testFloats', 'testStrings']"
75,2018-12-01 04:18:18,"=HYPERLINK(""https://github.com/pmd/pmd/commit/db630557bac9a804b3c303be76c96169432312bd"", ""db630557bac9a804b3c303be76c96169432312bd"")",1,['pmd-java8/src/test/java/net/sourceforge/pmd/lang/java/bugs/InterfaceMethodTest.java'],1,['shouldNotFail']
